<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",326087,1,9,"Acre","6","g",58.50,13,1.29.65,0.39.44,10.20," ","Steven Woodsford","Rangiora",11.10,0.00,0.00,"Terry Moseley",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nose Band",238708,"CAPTAIN RIO (GB) 1999",199891,"HELEN'S ROSE (NZ) 1996",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",335196,2,14,"Van Halen","4","g",58.50,6,1.28.71,0.39.63,4.50," ","Robyn Ayton","Ashburton",11.70,0.00,0.00,"Courtney Barnes",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Nasal Strip",264625,"ROCK 'N' POP (AUS) 2008",227492,"TARZIE (NZ) 2002",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",339905,4,8,"Ocean Of Champagne","3","g",58.50,3,1.28.35,0.39.17,2.40," HEAD","Shane Kennedy & Anna Furlong","Riccarton Park",6.80,2.20,1000.00,"Daniel Bothamley",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Side Winkers",265282,"OCEAN PARK (NZ) 2008",290658,"DOVER BEACH (NZ) 2011",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",335066,5,6,"Raff","4","g",58.50,5,1.28.61,0.38.95,3.90," ","Neill Ridley","Riccarton Park",6.70,0.00,250.00,"BB Hong",55.50,3.00,52,0,0,"Approved Plates, Lugging Bit",277609,"RAISE THE FLAG (GB) 2005",240934,"STAGE FLASH (AUS) 1998",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",344313,6,4,"Whale Song","3","g",58.50,1,1.27.93,0.38.07,," 2 LEN","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",3.30,1.80,6250.00,"Kavish Chowdhoory",55.50,3.00,52,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",271963,"NADEL DAME (NZ) 2009",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",304019,7,2,"Chorister","6","g",58.50,14,1.30.46,0.40.43,15.10," ","Ian Rogers","Riccarton Park",78.80,0.00,0.00,"Brandon Morgenrood",59.00,-0.50,49,0,0,"Approved Plates, Standard Bit, Blinkers, Tongue Tie",250789,"ORATORIO (IRE) 2002",300566,"PINKER SEA (AUS) 1999",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",335290,8,5,"Brother Will","4","g",58.50,9,1.29.09,0.38.67,6.90," ","Kevin & Pam Hughes","Riccarton Park",18.50,0.00,0.00,"Sanu Toolooa",54.50,4.00,48,0,0,"Approved Plates, Lugging Bit, Blinkers",300223,"ZACINTO (GB) 2006",241004,"OXFORD AUNT (NZ) 2004",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",353802,9,1,"Danny Green","3","g",58.50,8,1.28.78,0.39.15,5.00," ","Danny Crozier","Riccarton Park",14.00,0.00,0.00,"Rohan Mudhoo",55.50,3.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers",313563,"HIGHLY RECOMMENDED (AUS) 2008",253392,"SWEET SPOT (AUS) 1999",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",339901,10,12,"Hey Mickey","3","g",58.50,12,1.29.42,0.38.91,8.90," ","Shane Kennedy & Anna Furlong","Riccarton Park",22.50,0.00,0.00,"Dylan Turner",58.50,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers, Ear Covers (1st time), Nose Band (1st time)",226925,"ZED (NZ) 2002",276233,"CASTELLANI (NZ) 2009",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",349857,11,7,"Aquattack","3","f",56.50,11,1.29.41,0.39.22,8.80," ","Danny Frye","Balcairn",15.70,0.00,0.00,"Chris Johnson",56.50,0.00,51,0,0,"Approved Plates, Standard Bit",265282,"OCEAN PARK (NZ) 2008",287909,"UNDER SIEGE (USA) 2005",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",324729,12,11,"Bellissima Belle","5","m",56.50,7,1.28.72,0.38.47,4.60," ","Sophie Hargreaves & Naomi Murfitt","Riccarton Park",83.20,0.00,0.00,"Lee Callaway",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",277609,"RAISE THE FLAG (GB) 2005",215745,"NAUGHTY BUT NICE (NZ) 2000",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",352532,13,10,"I Got A Rock (AUS)","3","f",56.50,4,1.28.38,0.38.97,2.60," 1 1/4 LEN","Terri Rae","Riccarton Park",13.90,0.00,500.00,"Samantha Collett",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Side Winkers",244847,"FASTNET ROCK (AUS) 2001",352533,"BUSH HONEY (AUS) 1999",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",329138,14,13,"Jadore Lumiere","4","m",56.50,10,1.29.19,0.39.37,7.40," ","Sarah & Matthew Smith","Ashburton",31.60,0.00,0.00,"Jason Laking",56.50,0.00,46,0,0,"Approved Plates, Lugging Bit, Tongue Tie",219144,"D'CASH (AUS) 1996",233649,"HALO CLOUD (NZ) 2003",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201565,7,,Flat,1400,"MDN","MARK MCCORMICK CAMMERAY R.U.F.U. SUPPORTERS",10000.00,15:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",330134,16,3,"Billabong Billy","4","g",58.50,2,1.28.26,0.39.05,2.00," LONG NECK","Russell McKay","Ashburton",18.40,5.40,2000.00,"Tina Comignaghi",57.50,1.00,45,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",238720,"EKRAAR (USA) 1997",228306,"FLY SOLO (NZ) 2002",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",349026,1,13,"Fire Show","3","g",60.50,6,1.28.38,0.38.00,2.50," ","John & Karen Parsons","Balcairn",5.30,0.00,0.00,"Rahul Beeharry",57.50,3.00,66,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Tongue Tie",287687,"SHOWCASING (GB) 2007",247379,"FIRELIGHT (NZ) 2005",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",298545,2,14,"Admiral Rous (AUS)","8","g",59.50,9,1.28.92,0.39.08,5.80," ","Kieran McCauley","Amberley",41.20,0.00,0.00,"BB Hong",56.50,3.00,64,0,0,"Approved Plates, Lugging Bit",227325,"SNIPPETSON (AUS) 2001",171609,"BENTAL SHAREN (NZ) 1993",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",346300,4,3,"Devious","3","g",59.00,4,1.28.13,0.38.61,1.10," 3/4 LEN","Shane Kennedy & Anna Furlong","Riccarton Park",2.70,0.00,500.00,"Dylan Turner",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Ear Covers, Nose Band",280637,"PER INCANTO (USA) 2004",262363,"ANGEL DEL DINERO (NZ) 2007",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",309671,5,9,"Why Me","6","g",59.00,10,1.29.13,0.38.78,7.00," ","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",26.60,0.00,0.00,"Kavish Chowdhoory",56.00,3.00,63,0,0,"Approved Plates, Lugging Bit, Cheek Burrs",244799,"DUELLED (AUS) 2002",253476,"KATHLEEN ANGELS (NZ) 2006",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",326550,6,8,"Londaro (AUS)","5","g",58.00,13,1.30.97,0.40.86,18.20," ","Neill Ridley","Riccarton Park",18.10,0.00,0.00,"Kin Kwo",55.00,3.00,61,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",312182,"LOPE DE VEGA (IRE) 2007",300743,"SPURCENT (AUS) 2000",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",316347,8,5,"Elana Rose","5","m",57.50,11,1.29.76,0.39.73,10.90," ","Ross Beckett","Yaldhurst",23.80,0.00,0.00,"Terry Moseley",57.50,0.00,64,0,0,"Approved Plates, Lugging Bit, Bandages",250526,"COATS CHOICE (AUS) 2001",241342,"LA GENEROSE (NZ) 2004",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",334635,9,1,"Sainted Pearl","4","m",57.50,3,1.28.00,0.38.54,0.30," 3/4 LEN","Les and Richard Didham","Riccarton Park",9.90,2.60,1000.00,"Jason Laking",57.50,0.00,64,0,0,"Approved Plates, Lugging Bit on, Blinkers on, Tongue Tie",313325,"POWER (GB) 2009",248739,"STRACILE (NZ) 2005",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",351452,10,2,"Bellarosina","3","f",57.00,7,1.28.50,0.39.26,3.20," ","Steven Woodsford","Rangiora",22.10,0.00,0.00,"Tina Comignaghi",56.00,1.00,63,0,0,"Approved Plates, Lugging Bit, Ear Covers",241092,"ALAMOSA (NZ) 2004",238840,"NUN BETTER (NZ) 2004",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",339459,11,12,"Viva La Blues (AUS)","3","f",57.00,12,1.29.83,0.39.76,11.30," ","Danny Crozier","Riccarton Park",17.70,0.00,0.00,"Leah Hemi",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit",242513,"GUILLOTINE (NZ) 2004",239448,"KABLUES (NZ) 2004",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",316779,13,4,"Queen Jetsun","5","m",56.00,2,1.27.94,0.38.69,0.10," 1/2 NECK","Tony & Lyn Prendergast","West Melton",24.60,5.40,2000.00,"Kylie Williams",56.00,0.00,61,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Blinkers (1st time)",250272,"CASTLEDALE (IRE) 2001",216665,"GULFSTREAM (NZ) 2000",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",339915,14,10,"Stirling Lady","3","f",56.00,8,1.28.82,0.37.66,5.20," ","John & Karen Parsons","Balcairn",51.70,0.00,0.00,"Tanya Jonker",54.00,2.00,61,0,0,"Approved Plates, Lugging Bit, Tongue Tie",215366,"FALKIRK (NZ) 2000",249006,"POW WOW JANE (AUS) 2004",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",321448,15,11,"Midsummer Magic","5","m",55.50,5,1.28.28,0.37.97,1.90," ","Andrew Carston","Riccarton Park",71.80,0.00,250.00,"Chris Johnson",55.50,0.00,60,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers (1st time)",300223,"ZACINTO (GB) 2006",242716,"MONKEY MAGIC (NZ) 2004",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201562,8,,Flat,1400,"Rating 65 Benchmark*","GARY MCCORMICK BIN HIRE",10000.00,16:21:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",334987,16,7,"Thom Brown","4","g",57.50,1,1.27.94,0.38.31,," NOSE","Steven Woodsford","Rangiora",5.10,2.00,6250.00,"Samantha Collett",57.50,0.00,60,0,0,"Approved Plates, Lugging Bit, Side Winkers on, Tongue Tie (1st time)",258606,"JIMMY CHOUX (NZ) 2007",206212,"CREMISI (AUS) 1995",
