<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",353720,13,6,"Last Hoorah","4","m",55.00,13,1.31.92,0.39.97,26.20," ","Kirsty Barringer","Woodside",69.50,0.00,200.00,"Corey Campbell",54.50,0.50,59,0,0,"Approved Plates, Standard Bit (1st time), Blinkers, Boots (1st time), Nose Band (1st time)",232838,"NO EXCUSE NEEDED (GB) 1998",239557,"OUR LILY BELLE (NZ) 2004",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",339459,15,4,"Viva La Blues (AUS)","5","m",54.00,5,1.27.83,0.37.08,2.40," ","Danny Crozier","Riccarton Park",12.90,0.00,200.00,"Akshay Balloo",54.00,0.00,57,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",242513,"GUILLOTINE (NZ) 2004",239448,"KABLUES (NZ) 2004",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",341248,18,13,"Johnnie Redmond","5","g",55.00,12,1.31.82,0.39.96,25.60," ","Kirsty Barringer","Woodside",20.50,0.00,200.00,"Kin Kwo",53.00,2.00,55,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit on, Blinkers, Nose Band, Tongue Tie on",244648,"BACHELOR DUKE (USA) 2001",239565,"OODLES (NZ) 2004",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",331832,1,8,"I Am A Rock","6","g",59.50,8,1.28.26,0.37.09,5.10," ","John Blackadder","Rangiora",8.10,0.00,220.00,"Daniel Bothamley",59.50,0.00,73,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",264625,"ROCK 'N' POP (AUS) 2008",192383,"ZORINA (USA) 1994",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",322910,2,9,"Splendior","7","m",59.00,9,1.28.38,0.37.77,5.80," ","Sarah & Matthew Smith","Ashburton",35.10,0.00,220.00,"Corey Campbell",58.00,1.00,76,0,0,"Approved Plates, Lugging Bit, Pacifiers, Tongue Tie",248656,"TAVISTOCK (NZ) 2005",258939,"SHIBBOLETH (NZ) 2007",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",344374,3,7,"Seriously","5","g",58.50,4,1.27.69,0.37.28,1.80," NECK","Terri Rae","Riccarton Park",6.00,0.00,440.00,"Kylie Williams",58.50,0.00,71,0,0,"Approved Plates, Lugging Bit, Blinkers",172521,"O'REILLY (NZ) 1993",253298,"PROMENADE (NZ) 2006",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",337919,4,5,"Mamma Sans","6","m",57.50,2,1.27.60,0.37.03,1.30," LONG NECK","Meg Cunneen","Riccarton Park",23.80,6.10,1650.00,"Jason Laking",57.50,0.00,73,0,0,"Approved Plates, Lugging Bit, Side Winkers",248656,"TAVISTOCK (NZ) 2005",238276,"TANZER (NZ) 2003",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",346937,5,2,"Blair Flight","6","g",56.50,11,1.28.64,0.38.44,7.30," ","Ross Beckett","Yaldhurst",8.70,0.00,220.00,"Lee Callaway",56.50,0.00,67,0,0,"Approved Plates, Lugging Bit",300223,"ZACINTO (GB) 2006",251653,"TRISTA FLIGHT (NZ) 2006",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",301225,7,11,"Linedanceking","8","g",56.50,6,1.27.86,0.37.42,2.70," ","Steven Woodsford","Rangiora",15.30,0.00,220.00,"Akshay Balloo",56.50,0.00,67,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",201213,"KINGMAKER (NZ) 1998",193907,"RIVERDANCER (NZ) 1997",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",339735,8,3,"Are You Cereal","6","g",55.50,3,1.27.68,0.36.94,1.70," NOSE","Jackie Burrows","Rolleston",24.60,5.90,770.00,"Meghann Gestain",51.50,4.00,65,0,0,"Approved Plates (Hind), Concussion Plates (Front), Lugging Bit",213341,"DANROAD (AUS) 1999",193629,"CORNFLAKE (NZ) 1997",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",337227,9,1,"Pownce","6","m",55.00,10,1.28.48,0.37.97,6.40," ","Russell McKay & Ashley Harrington","Riccarton Park",9.10,0.00,220.00,"Rohan Mudhoo",53.00,2.00,68,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time), Nasal Strip, Nose Band",313325,"POWER (GB) 2009",277878,"DANCERS WORLD (AUS) 2005",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",354263,10,10,"Island Hop","4","g",55.00,1,1.27.44,0.36.39,," 1 1/4 LEN","Kevin & Pam Hughes","Riccarton Park",4.50,1.90,5940.00,"Kavish Chowdhoory",54.00,1.00,64,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nose Band (1st time)",285139,"SWISS ACE (AUS) 2004",250953,"CHAPINTA (NZ) 2006",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",340485,11,6,"Athene","5","m",54.50,5,1.27.74,0.36.93,2.10," ","Terri Rae","Riccarton Park",12.10,0.00,220.00,"Krishna Mudhoo",54.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",277609,"RAISE THE FLAG (GB) 2005",248980,"ZENAGEN (NZ) 2005",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211547,8,,Flat,1400,"Rating 74 Benchmark","TONY COOK LIFE MEMBER APPRECIATION",11000.00,16:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",7,"Fine",346941,12,4,"Recommended Flight","5","m",54.50,7,1.28.03,0.36.84,3.80," ","Ross Beckett","Yaldhurst",5.20,0.00,220.00,"Sam Weatherley",54.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",313563,"HIGHLY RECOMMENDED (AUS) 2008",251653,"TRISTA FLIGHT (NZ) 2006",
